"","qr","uuid","user.agent","x.forwarded.for","cookie","PurchaseDate","PurchaseTime","Week","BestByDate"
"1","09zpKUiyl1whvYsJ","58e205b0-904a-11ec-be72-65798f5d6a49","Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1","104.28.133.63","jBx5eWHHtWlGHBUZc5puQCxopSGhlUHp","2/17/2022","18:35","3","2/17/2022"
"2","09zpKUiyl1whvYsJ","c12002c0-8e93-11ec-bdd6-478b3b1f8e77","Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1","174.244.113.150","1HEaRkO6xWP_enKyxpw1CbW3VdYvTJOV","2/15/2022","14:16","3","2/17/2022"
"3","09zpKUiyl1whvYsJ","ae8f5b10-8e93-11ec-bdd6-478b3b1f8e77","Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1","174.244.113.150","1HEaRkO6xWP_enKyxpw1CbW3VdYvTJOV","2/15/2022","14:15","3","2/17/2022"
"4","09zpKUiyl1whvYsJ","62f83680-8a7a-11ec-b8cb-3f327c57d805","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.18(0x1800122b) NetType/WIFI Language/zh_CN","221.15.25.100","A7Y8GLzEyc7naYsiRbTOsTwxLvXyP5n-","2/10/2022","9:04","2","2/17/2022"
"5","09zpKUiyl1whvYsJ","a3c252a0-8a79-11ec-b8cb-3f327c57d805","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Mobile/15E148 Safari/604.1","24.97.110.217","EV6-0fDdwlCiXn0M42tI5_eqbL0LFQ4y","2/10/2022","8:59","2","2/17/2022"
"6","09zpKUiyl1whvYsJ","25f7cab0-8909-11ec-b040-e95216d15944","Mozilla/5.0 (Linux; Android 11; SM-A102U Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.87 Mobile Safari/537.36","128.84.125.206","","2/8/2022","13:01","2","2/17/2022"
"7","09zpKUiyl1whvYsJ","d64c10f0-8860-11ec-a56d-756ed1048fff","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1","128.84.127.67","OtTXddU-hKFXQFaJe6-Asray1czF_Ac8","2/7/2022","16:56","2","2/17/2022"
"8","5gzoezWXOyyd3tNk","bdc46890-935d-11ec-bd07-070c25c649c7","Mozilla/5.0 (Linux; Android 11; moto g stylus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36","128.84.127.86","","2/21/2022","16:32","4","3/3/2022"
"9","5gzoezWXOyyd3tNk","2150a1f0-8f79-11ec-9e90-9d3b1b85ac1e","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1","107.77.225.170","GWkFTIw5qtgC0duGEdecEYdyY-Myjzcp","2/16/2022","17:38","3","3/3/2022"
"10","5gzoezWXOyyd3tNk","51f4cab0-9b32-11ec-92b9-11ba3104d73e","Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","128.84.127.188","0kLWCQ0LN6SwDX9KWr2IfQqxPF8_wyhc","3/3/2022","15:41","5","3/3/2022"
"11","5gzoezWXOyyd3tNk","ce8b4cc0-935d-11ec-bd07-070c25c649c7","Mozilla/5.0 (Linux; Android 11; moto g stylus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36","128.84.127.86","pIGO1NDELKWCVBVdYOj5z2LWrTgBnVoZ","2/21/2022","16:32","4","3/3/2022"
"12","64Z32pVHc536Vypz","94dbd270-9325-11ec-81f8-0b9887f4eb42","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","174.244.112.161","gY5c-VcjsuvF7fjMVqpjRZF_tdhHpZoE","2/21/2022","9:50","4","2/24/2022"
"13","6YaMVoix5Sn23V5w","a91d6d90-a6f1-11ec-9925-27dd9828bc99","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","128.84.125.154","qry_fpwnNa5vgXFSllt7chCXSHZQTLrc","3/18/2022","15:28","7","3/24/2022"
"14","6YaMVoix5Sn23V5w","c4a550c0-a730-11ec-9925-27dd9828bc99","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","24.97.110.217","","3/18/2022","23:00","7","3/24/2022"
"15","6YaMVoix5Sn23V5w","476950f0-a633-11ec-ae25-6fa587b48294","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1","104.28.55.245","uGyfr24NGXPo5uvKyM8bD4q9k00JQ1xl","3/17/2022","16:46","7","3/24/2022"
"16","CRgEmDKgXGDNYEw4","6ce71b10-aa0b-11ec-a56b-290fda2265bd","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1","128.84.126.3","iAo7y-u-Bwoxuiyayf9G70eGJlAvt5Ps","3/22/2022","14:10","8","3/31/2022"
"17","CRgEmDKgXGDNYEw4","15e329d0-a6f5-11ec-9925-27dd9828bc99","Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","166.205.147.41","fvT9YCBktJv2WAzdhbYhtE8YRnCtPve6","3/18/2022","15:53","7","3/31/2022"
"18","CRgEmDKgXGDNYEw4","d3987810-ab9e-11ec-b038-95edd76e5360","Mozilla/5.0 (Linux; Android 12; Pixel 5a) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.73 Mobile Safari/537.36","128.84.125.0","xXntCZMHqCS_2yroLQNqSsOlb5ipa_UO","3/24/2022","14:18","8","3/31/2022"
