Sales Mix by Item Group,,,,,,,,
Business Dates,1/1/2019 - 12/31/2019,,,,,,,
Locations,All,,,,,,,
Revenue Centers,StockingHallCafe,,,,,,,
Group,Sales Less Item Disc,% Sales,% Major Group,% Family Group,Item Discounts,Qty Sold,Average Price,Year
Convenience,"142,202.80",16.5%,,,(724.36),"42,029",3.38,
Dairy,"37,596.22",4.4%,26.4%,,(216.57),"9,803",3.84,
AgedChedWheel2LB,"8,373.95",1.0%,5.9%,22.3%,(58.54),351,23.86,2019
QuarterChseSlice,"5,608.42",0.7%,3.9%,14.9%,(8.87),771,7.27,2019
CornelChocMlk1Qt,"5,388.14",0.6%,3.8%,14.3%,(33.48),"2,358",2.29,2019
Chedd Mild Wheel,"3,543.81",0.4%,2.5%,9.4%,(7.70),149,23.78,2019
CornelMilk1/2Gal,"2,568.18",0.3%,1.8%,6.8%,(31.67),815,3.15,2019
CornelWhlMilk1Qt,"1,649.47",0.2%,1.2%,4.4%,(12.18),835,1.98,2019
Corn2%Milk1/2Gal,"1,141.35",0.1%,0.8%,3.0%,(10.24),361,3.16,2019
Eggnog Quart,993.26,0.1%,0.7%,2.6%,(2.32),172,5.77,2019
Cornel2%Milk1Qt,975.20,0.1%,0.7%,2.6%,(8.28),472,2.07,2019
Peach Yogurt,881.83,0.1%,0.6%,2.3%,(5.69),688,1.28,2019
StrawberryYogurt,771.08,0.1%,0.5%,2.1%,(4.21),601,1.28,2019
BlackCheryYogurt,739.62,0.1%,0.5%,2.0%,(6.00),578,1.28,2019
Mango Yogurt,719.58,0.1%,0.5%,1.9%,(6.69),563,1.28,2019
Mango Yogurt32oz,530.49,0.1%,0.4%,1.4%,(1.85),116,4.57,2019
Peach Yogurt32oz,448.10,0.1%,0.3%,1.2%,(0.90),100,4.48,2019
SaltedButter 1LB,443.12,0.1%,0.3%,1.2%,(0.14),74,5.99,2019
PlainYogurt32oz,434.12,0.1%,0.3%,1.2%,(4.46),92,4.72,2019
StrawberryYog32z,431.36,0.1%,0.3%,1.1%,(2.69),95,4.54,2019
BlackCherryYog32,408.18,0.0%,0.3%,1.1%,(1.00),82,4.98,2019
VanillaYogrt32oz,372.75,0.0%,0.3%,1.0%,(1.50),75,4.97,2019
CornSkMilk1/2Gal,329.52,0.0%,0.2%,0.9%,(2.24),104,3.17,2019
Cheddar Block LB,228.15,0.0%,0.2%,0.6%,(0.94),23,9.92,2019
CUMilkSkimQuart,225.30,0.0%,0.2%,0.6%,(2.70),120,1.88,2019
SoyMilkVan8oz,195.23,0.0%,0.1%,0.5%,(1.33),104,1.88,2019
SoyMilkChoc8.25z,193.72,0.0%,0.1%,0.5%,(0.95),103,1.88,2019
Chobani Yogurt 6oz,2.29,0.0%,0.0%,0.0%,0.00,1,2.29,2019
Show Price Levels,,,,,,,,
