Item,DateSold,TimeSold,Week,MilkFat,Price,Month,Associated with Scan,Associate with discount
MlkWhlProjec3.19/ITH,1/31/2022,13:17,1,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/2/2022,13:34,1,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/7/2022,11:03,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/7/2022,16:03,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/8/2022,11:40,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/8/2022,13:02,2,Whole,3.19,1,X,
MlkWhlProjec3.19/ITH,2/8/2022,13:40,2,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/8/2022,14:14,2,ReducedFat,3.19,1,,
Mlk2%Project3.19/ITH,2/8/2022,14:54,2,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/9/2022,12:28,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,12:56,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,13:08,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,15:43,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,17:45,2,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/11/2022,13:59,2,ReducedFat,3.19,1,,
MlkSkmProjec3.19/ITH,2/11/2022,15:43,2,Skim,3.19,1,,
Mlk2%Project3.19/ITH,2/14/2022,13:05,3,ReducedFat,3.19,1,,
Mlk2%Project3.19/ITH,2/14/2022,14:04,3,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/14/2022,13:32,3,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/14/2022,14:01,3,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/15/2022,14:11,3,Whole,3.19,1,X,
MlkWhlProjec3.19/ITH,2/15/2022,15:24,3,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/15/2022,14:17,3,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/16/2022,12:45,3,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/16/2022,17:38,3,Whole,3.19,1,X,
MlkWhlProjec3.19/ITH,2/16/2022,17:41,3,Whole,3.19,1,*,
MlkWhlProjec3.19/ITH,2/17/2022,13:39,3,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/18/2022,8:30,3,ReducedFat,3.19,1,,
